Seized Property Inventory Valued Over One Million Dollars,,,,,,,,
Fiscal Year 2015,,,,,,,,
,,,,,,,,
Aircraft,,,,,,,,
Location,Description,Equity,,,,,,
"Los Angeles, CA         ",US Currency,"$1,621,352 ",,,,,,
"Little Rock, AR         ",US Currency,"$1,622,342 ",,,,,,
"San Antonio, TX         ",US Currency,"$1,627,000 ",,,,,,
"Bryn Mawr, PA           ",US Currency,"$1,649,169 ",,,,,,
"Murphy, TX              ",US Currency,"$1,657,375 ",,,,,,
"San Francisco, CA       ",US Currency,"$1,664,208 ",,,,,,
"San Diego, CA           ",US Currency,"$1,679,970 ",,,,,,
"Charlotte, NC           ",US Currency,"$1,682,870 ",,,,,,
"Minneapolis, MN         ",US Currency,"$1,699,887 ",,,,,,
"Champions Gate, FL      ",US Currency,"$1,700,000 ",,,,,,
"El Paso, TX             ",US Currency,"$1,703,816 ",,,,,,
"Cincinnati, OH      ",US Currency,"$1,711,999 ",,,,,,
"Great Neck, NY          ",US Currency,"$1,753,309 ",,,,,,
"Orange, CA              ",US Currency,"$1,756,671 ",,,,,,
"Cincinnati, OH          ",US Currency,"$1,771,165 ",,,,,,
"London, AR              ",US Currency,"$1,789,520 ",,,,,,
"Mission, TX             ",US Currency,"$1,799,700 ",,,,,,
"Chicago, IL             ",US Currency,"$1,807,377 ",,,,,,
"Minneapolis, MN         ",US Currency,"$1,822,129 ",,,,,,
"Minneapolis, MN         ",US Currency,"$1,840,332 ",,,,,,
"Roswell, GA             ",US Currency,"$1,875,977 ",,,,,,
"New York, NY            ",US Currency,"$1,879,992 ",,,,,,
"Bolton, MA              ",US Currency,"$1,898,500 ",,,,,,
"Arlington, TX           ",US Currency,"$1,938,600 ",,,,,,
"Houston, TX             ",US Currency,"$1,954,087 ",,,,,,
"Brooklyn, NY            ",US Currency,"$1,958,093 ",,,,,,
"Miami, FL              ",US Currency,"$1,961,050 ",,,,,,
"Houston, TX             ",US Currency,"$1,974,820 ",,,,,,
"New York, NY            ",US Currency,"$1,979,645 ",,,,,,
"New York City, NY       ",US Currency,"$1,983,968 ",,,,,,
"Floral Park, NY         ",US Currency,"$1,998,244 ",,,,,,
"Cleveland, OH           ",US Currency,"$2,000,000 ",,,,,,
"Great Neck, NY          ",US Currency,"$2,043,207 ",,,,,,
"New York, NY            ",US Currency,"$2,057,620 ",,,,,,
"Bound Brook, NJ         ",US Currency,"$2,063,756 ",,,,,,
"Utica, NY               ",US Currency,"$2,073,530 ",,,,,,
"White Plains, NY        ",US Currency,"$2,100,000 ",,,,,,
"Irvine, CA              ",US Currency,"$2,112,674 ",,,,,,
"Little Rock, AR         ",US Currency,"$2,131,793 ",,,,,,
"Lubbock, TX             ",US Currency,"$2,148,003 ",,,,,,
"Valley Forge, PA        ",US Currency,"$2,175,644 ",,,,,,
"Winona, MN              ",US Currency,"$2,193,414 ",,,,,,
"Plantation, FL          ",US Currency,"$2,200,999 ",,,,,,
