Seized Property Inventory Valued Over One Million Dollars,,,,,,,
Fiscal Year 2016,,,,,,,
Aircraft,,,,,,,
Location,Description,Equity,,,,,
"Calverton, NY           ",US Currency,"$1,558,807 ",,,,,
"Flowood, MS             ",US Currency,"$1,567,980 ",,,,,
"Pasadena, TX            ",US Currency,"$1,570,214 ",,,,,
"McAllen, TX             ",US Currency,"$1,579,836 ",,,,,
"Indianapolis, IN        ",US Currency,"$1,600,322 ",,,,,
"Los Angeles, CA         ",US Currency,"$1,621,352 ",,,,,
"Hattiesburg, MS         ",US Currency,"$1,621,556 ",,,,,
"Miami, FL               ",US Currency,"$1,631,056 ",,,,,
"Bryn Mawr, PA           ",US Currency,"$1,649,169 ",,,,,
"San Francisco, CA       ",US Currency,"$1,664,208 ",,,,,
"Woodhaven, MI           ",US Currency,"$1,667,499 ",,,,,
"San Diego, CA           ",US Currency,"$1,679,970 ",,,,,
"Charlotte, NC           ",US Currency,"$1,682,870 ",,,,,
"Albany, GA ",US Currency,"$1,692,152 ",,,,,
"Champions Gate, FL      ",US Currency,"$1,700,000 ",,,,,
"Great Neck, NY          ",US Currency,"$1,753,309 ",,,,,
"Orange, CA              ",US Currency,"$1,756,671 ",,,,,
"Huntsville, AL          ",US Currency,"$1,763,189 ",,,,,
"San Antonio, TX         ",US Currency,"$1,771,721 ",,,,,
"Birmingham, AL          ",US Currency,"$1,781,158 ",,,,,
"London, AR              ",US Currency,"$1,789,520 ",,,,,
"Covington, NY           ",US Currency,"$1,802,128 ",,,,,
"Miami, FL               ",US Currency,"$1,807,248 ",,,,,
"Minneapolis, MN         ",US Currency,"$1,840,332 ",,,,,
"Glenside, PA            ",US Currency,"$1,864,545 ",,,,,
"Roswell, GA             ",US Currency,"$1,875,977 ",,,,,
"New York, NY            ",US Currency,"$1,879,992 ",,,,,
"Bolton, MA              ",US Currency,"$1,898,500 ",,,,,
"New York, NY            ",US Currency,"$1,900,000 ",,,,,
"Hattiesburg, MS         ",US Currency,"$1,905,238 ",,,,,
"Charlotte, NC           ",US Currency,"$1,916,793 ",,,,,
"Arlington, TX           ",US Currency,"$1,938,600 ",,,,,
"Brooklyn, NY            ",US Currency,"$1,958,093 ",,,,,
"Miami, FL               ",US Currency,"$1,961,050 ",,,,,
"New York, NY            ",US Currency,"$1,979,645 ",,,,,
"New York City, NY       ",US Currency,"$1,983,968 ",,,,,
"Floral Park, NY         ",US Currency,"$1,998,244 ",,,,,
"Farmington Hills, MI    ",US Currency,"$2,000,000 ",,,,,
"New York, NY            ",US Currency,"$2,019,937 ",,,,,
"New York, NY            ",US Currency,"$2,057,620 ",,,,,
"Ponce, PR               ",US Currency,"$2,101,995 ",,,,,
"Irvine, CA              ",US Currency,"$2,112,674 ",,,,,
"Hattiesburg, MS         ",US Currency,"$2,122,737 ",,,,,
"Atlanta, GA             ",US Currency,"$2,128,827 ",,,,,
"Hurst, TX               ",US Currency,"$2,134,263 ",,,,,
"Mission, TX             ",US Currency,"$2,142,805 ",,,,,
"Lubbock, TX             ",US Currency,"$2,148,003 ",,,,,
"Winona, MN              ",US Currency,"$2,193,414 ",,,,,
"Plantation, FL          ",US Currency,"$2,200,999 ",,,,,
"Great Neck, NY          ",US Currency,"$2,222,329 ",,,,,
"New York, NY            ",US Currency,"$2,226,521 ",,,,,
"Chicago, IL             ",US Currency,"$2,271,850 ",,,,,
"Miami, FL               ",US Currency,"$2,300,000 ",,,,,
"Anaheim, CA             ",US Currency,"$2,303,425 ",,,,,
"Chicago, IL            ",US Currency,"$2,315,116 ",,,,,
"Wan Chai, Hong Kong            ",US Currency,"$2,350,843 ",,,,,
"Ponce, PR               ",US Currency,"$2,350,905 ",,,,,
"Red Bank, NJ            ",US Currency,"$2,380,091 ",,,,,
"East Elmhurst, NY       ",US Currency,"$2,387,058 ",,,,,
"Linthicum Heights, MD   ",US Currency,"$2,418,765 ",,,,,
"Central Islip, NY       ",US Currency,"$2,500,000 ",,,,,
"San Juan, PR            ",US Currency,"$2,563,023 ",,,,,
"Boca Raton, FL          ",US Currency,"$2,600,685 ",,,,,
"Washington, DC          ",US Currency,"$2,601,286 ",,,,,
"Los Angeles, CA         ",US Currency,"$2,670,744 ",,,,,
"Bakersfield, CA         ",US Currency,"$2,676,000 ",,,,,
